,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Feature21,Feature22,Feature23,Feature24,Feature25,Target
0,-365.0484,179.79912,70.18313,3.615759,5.16107,23.676535,19.786896,8.197821,11.780345,19.907194,12.897231,-2.027206,-4.7359014,4.2610335,7.8422675,1.3517941,-3.3631325,0.034825824,4.3102903,3.45408,1.0971774,1.1982819,1.5161338,0.13050276,-0.14209825,2
1,-399.81793,240.19856,71.74598,-27.14782,-19.097279,15.200221,12.556531,-5.602255,-1.6507424,12.97418,9.952462,-4.2992063,-6.1119614,2.8610682,3.8946526,-3.6156764,-4.475657,3.2141945,6.502878,1.6051491,-1.7307472,0.7784087,2.2230084,-0.95694774,-3.2067616,1
2,-396.14902,190.80812,65.992294,-4.692991,4.687824,28.455683,19.127953,-0.47528774,3.1227021,18.145008,16.336647,1.1375132,-4.3006253,2.7801397,5.796161,-0.038367998,-3.1403816,1.1834072,4.128746,0.9453031,-1.8075175,0.38605896,2.6781595,0.9373493,-1.260459,2
3,-354.53833,224.7552,79.96708,-3.732658,3.091108,26.903955,16.0334,-3.9176567,1.5118185,17.238222,14.166478,-1.1783774,-5.044385,2.1934123,3.3918972,-2.7841208,-3.7519636,1.6549108,3.0164013,-1.2233505,-2.5566099,0.594867,1.1564268,-2.0843675,-2.5181038,1
4,-369.38168,255.02936,62.214542,-37.282833,-12.078745,27.999918,11.162772,-20.365377,-13.772975,10.005653,9.495859,-6.4307756,-6.292726,6.2658753,6.672006,-4.1455436,-6.404104,0.87298137,2.1167192,-4.080445,-5.024123,0.7243932,2.1820211,-2.4624026,-3.855212,1
5,-468.05646,91.50907,11.80285,26.152119,10.455655,14.632566,3.0713763,7.0319448,-0.49719998,1.6203877,-4.50635,-0.7858221,-5.9578176,-1.3913975,-6.837308,-2.824679,-7.5271244,-3.485764,-6.9886928,-2.9981363,-6.0736074,-1.9494681,-5.9426036,-1.3990047,-5.2506566,2
6,-459.0382,183.8612,48.46815,-16.348032,10.229361,41.346424,22.819416,-8.655067,-7.5741663,10.797328,10.4277525,-4.9410586,-8.460773,1.5746799,5.853438,0.5648567,-1.1271399,3.6562004,4.5448284,-0.69941604,-2.880272,0.84716374,3.024643,0.6306553,-0.5059544,2
7,-415.3599,192.94,67.05989,-1.5817924,8.757441,28.356888,14.558457,-2.8925834,6.5710506,22.291508,15.214729,-3.0256999,-5.422818,5.0607843,6.7840047,-1.982752,-4.98557,1.2984811,4.6271667,0.6806583,-1.7747693,1.136786,2.9265256,0.52346635,-0.8992252,2
8,-288.23438,210.32204,54.29905,-24.315441,-1.0000616,32.547455,19.089947,-5.3178554,0.8057556,18.056767,13.585868,-2.2703607,-3.1514823,6.6319914,7.088009,-0.19316858,-0.5165577,4.5912423,3.411293,-1.9893794,-1.1289021,3.8892326,3.0715544,-2.067654,-2.0221577,2
9,-359.28458,163.40071,47.95803,-9.911913,8.663106,33.010906,18.652143,-4.959495,-2.277029,12.693683,11.225319,-1.652713,-3.9146655,3.9095144,5.433625,-0.4012464,-1.1220847,4.4959755,5.918695,1.1658934,-1.1798521,1.3855319,2.5554838,0.6641931,0.9765267,2
