,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Feature21,Feature22,Feature23,Feature24,Feature25,Target
0,-455.13736,32.117508,67.03724,77.664734,49.664658,25.880259,24.391785,26.454983,17.030998,8.447568,7.0440407,6.6428466,2.8741794,-2.9692338,-1.4139948,3.8999908,2.648876,-0.8642819,2.4208136,6.688178,4.282985,0.341899,1.7479202,4.8919015,3.0446594,1
1,-354.22824,175.02553,82.42868,20.072756,10.0345125,21.328854,18.868486,4.9950356,-0.3090938,5.262074,6.1828775,-0.4479553,-3.6549897,-1.3537567,0.60009605,-1.6065129,-4.3002496,-2.564156,1.5831238,2.2412128,-0.12767738,-0.75202847,0.28122222,-0.20387694,-2.0865154,1
2,-382.03625,225.97774,72.78567,-8.900095,-5.091794,17.019112,6.35807,-12.566879,-6.3142657,11.87959,8.759533,-6.4505854,-6.7081175,1.1249614,1.8979617,-2.6282933,-2.764105,2.8777308,6.2619567,3.3591967,0.70355356,2.4052577,2.614883,-0.81362414,-2.7395122,1
3,-408.18347,162.12502,71.404335,11.888519,21.987108,38.67627,28.279007,12.859214,16.979382,23.939793,19.799263,8.686678,2.377174,6.7410083,5.837578,-3.146555,-5.3250656,-1.2504582,-3.0502357,-8.082791,-7.337514,-2.6623075,-0.5641725,-1.5771291,-0.4583896,1
4,-363.65137,145.41838,60.0123,18.270243,14.665586,24.535477,18.216152,3.1492407,-1.6136308,6.607077,5.9820843,-2.2759328,-2.39374,-1.0270442,-0.14337091,1.2467563,1.7318112,3.6539786,8.055156,8.927787,5.4428883,3.5237486,3.038727,1.6727985,-0.3106523,1
5,-397.03418,118.643654,52.892647,20.176771,19.877367,25.82119,16.457298,2.9798415,2.821469,13.090687,14.036549,5.945793,2.9584022,4.09061,5.20142,5.136701,4.346047,5.423279,7.625852,6.7114553,3.7712739,3.0845335,3.847098,3.3235202,1.7038658,1
6,-404.783,143.88739,80.2131,31.517838,26.071573,30.875122,22.639849,9.550626,8.357672,13.64492,14.655515,8.576704,2.4535367,4.7372394,6.883712,2.7522037,-0.706068,0.17000683,0.3537316,-1.9801382,-3.3100798,-1.7498665,1.1524336,2.1260052,1.3778064,1
7,-494.66354,77.89432,90.022675,74.164856,59.39406,45.443996,38.107296,34.3546,29.965616,20.1571,15.670261,12.721804,4.3610888,2.3326445,2.6329584,-0.90682185,-3.6114147,-4.0277367,-6.142624,-7.7495794,-6.9995675,-5.3905272,-2.443636,0.8460735,2.80134,1
8,-378.63815,166.35905,73.529045,17.749823,14.553545,22.901005,12.6482315,-0.81585115,2.2936099,11.844136,9.490989,-1.391517e-06,-1.2653122,3.3329844,2.9150343,-2.230131,-3.5476089,0.44971195,2.7204285,0.6968794,-0.73187727,0.83978677,1.5030209,-0.47511923,-1.6865946,1
9,-396.51184,151.97256,85.185295,38.18096,27.810158,28.76313,19.278639,6.104169,2.8186555,6.90154,8.152955,4.425208,1.2119925,1.4590864,1.1185043,-1.4608524,-3.2374957,-3.0983145,-2.8210118,-2.971382,-2.1243846,-0.603549,-0.11771453,-0.3724016,-0.15032472,1
10,-357.83444,97.07692,45.04486,27.493437,16.257885,14.279441,9.819177,2.3909647,-3.1695924,0.4592188,-2.1645024,-6.5131116,-1.187814,-2.0454414,-4.497641,-1.0334837,1.792783,3.6702342,9.210389,12.0339575,8.988976,5.5419626,2.5909426,-0.60439825,-3.4930124,1
11,-393.53198,142.69753,70.04024,30.332817,20.747904,22.924278,14.898587,2.1351285,-2.5192437,2.2439883,1.2221907,-4.012419,-2.9287636,-2.9057329,-4.607108,-4.185681,-2.6423087,-0.48314983,2.6789336,3.7775774,2.7915256,2.2688208,0.9037831,-1.2418848,-2.3920228,1
12,-442.61807,105.1223,57.030693,38.60651,19.223736,11.063389,5.9727907,0.26080546,-4.525346,-0.3024604,-1.9495734,-6.4938087,-2.562245,-4.196508,-4.853426,0.69404036,3.3020363,3.6799164,8.944956,12.436794,9.171648,5.694118,3.9987648,2.1775866,-1.3335816,1
13,-359.59296,213.9663,77.663376,-3.9538896,-1.9275037,21.64563,15.268215,-3.0838277,-1.9899305,10.985264,9.372099,-3.3933256,-6.142873,1.6269109,4.481213,-1.0195836,-3.4662783,1.6964811,5.738709,2.9190361,-0.721385,0.39625725,2.374608,0.80831337,-1.3143219,1
14,-382.62613,211.1561,50.935997,-27.65013,-3.2332823,33.302727,19.786484,-7.951597,-3.4072871,17.557777,16.230433,-1.4680004,-4.8146214,4.4573507,7.053433,1.2481033,0.251454,6.2580624,8.302022,2.9928346,-0.4549264,2.2238553,3.6914108,1.0349174,0.041964848,1
